ScheduleTime,Airline,FlightNumber,Destination,AircraftType,FlightType,Sector,SeatCapacity,LoadFactor
2022-03-01 05:45:00,UK,1315,YXX,319,J,CA,131,0.627287799576125
2022-03-01 07:15:00,PW,950,YLW,319,J,CA,143,0.6908167355611724
2022-03-01 06:45:00,VW,770,YYZ,320,J,CA,220,0.6265159401738039
2022-03-01 06:40:00,DO,2568,YXU,32N,J,CA,180,0.5812788176957262
2022-03-01 07:30:00,AY,984,YYG,320,J,CA,174,0.5459399944406174
2022-03-01 06:40:00,SV,1564,YYJ,73H,J,CA,186,0.3390154296503944
2022-03-01 07:05:00,IK,874,YAD,321,C,CA,212,0.8472281821648042
2022-03-01 08:00:00,CN,510,EST,AT4,J,US,46,0.5669348260907184
2022-03-01 07:30:00,CN,2074,BGW,320,O,IQ,180,0.6155301642875429
2022-03-01 08:50:00,DO,987,YXC,32N,J,CA,180,0.2577242512460255
2022-03-01 08:45:00,DO,1047,YLL,AT7,J,CA,70,0.13658278502148624
2022-03-01 08:10:00,DO,1123,OFF,CR9,J,US,90,0.28508017525405943
2022-03-01 07:40:00,SH,617,BWI,359,J,US,253,0.21446531596006965
2022-03-01 09:00:00,NU,534,UTM,AT7,J,US,48,0.43181051231817463
2022-03-01 08:25:00,CN,511,EST,AT7,J,US,70,0.4876441115694834
2022-03-01 08:20:00,IK,780,YXC,332,C,CA,322,0.4835531955659337
2022-03-01 09:15:00,CN,551,CKE,AT7,J,US,72,0.5048182820210003
2022-03-01 08:35:00,DO,679,YWG,32N,J,CA,180,0.31701718442373383
2022-03-01 08:10:00,JZ,817,YHM,E90,J,CA,100,0.5812866845942942
2022-03-01 08:00:00,MD,1538,MJQ,32A,J,US,230,0.5946189663392831
2022-03-01 09:10:00,DO,902,CKE,32N,J,US,180,0.2935398517894419
2022-03-01 09:15:00,ZY,811,YXC,73H,J,CA,186,0.4735706973249928
2022-03-01 09:35:00,DO,817,HDI,359,J,US,300,0.23914426114882445
2022-03-01 10:05:00,PW,1083,YLW,320,J,CA,148,0.7007502220615225
2022-03-01 09:55:00,VD,760,FNK,333,J,US,285,0.6194371762680387
2022-03-01 10:20:00,DO,679,YQR,CR9,J,CA,90,0.3503337357059771
2022-03-01 10:35:00,PU,857,ASE,32N,J,US,189,0.6248817230288675
2022-03-01 10:40:00,BT,660,NPA,DH4,J,US,76,0.48608920919567655
2022-03-01 11:55:00,DO,973,YYJ,32N,J,CA,180,0.2728115425436245
2022-03-01 12:10:00,DO,764,AIY,CR9,J,US,90,0.5327011644321284
2022-03-01 12:10:00,IA,876,DEN,73H,J,US,186,0.6265025442596749
2022-03-01 12:00:00,DO,803,EWR,333,J,US,266,0.20758677383611546
2022-03-01 12:10:00,JZ,822,YHM,E90,J,CA,100,0.610561991924571
2022-03-01 13:05:00,DO,1080,YJO,CR9,J,CA,90,0.22530112303886848
2022-03-01 12:40:00,DO,1415,DAB,CR9,J,US,90,0.13023023218840066
2022-03-01 12:15:00,AY,651,YYG,320,J,CA,174,0.5826058168722135
2022-03-01 12:55:00,CL,711,YQR,7M8,J,CA,197,0.5961513560868199
2022-03-01 13:25:00,UK,775,YVR,32N,J,CA,172,0.5719051516022984
2022-03-01 13:05:00,ZT,568,KEF,7M8,J,IS,160,0.6112061618164193
2022-03-01 14:05:00,CN,514,EST,AT7,J,US,70,0.5470717189142101
2022-03-01 13:35:00,DO,1456,AUM,32N,J,US,180,0.2751752432880464
2022-03-01 14:55:00,SV,1529,CKE,73H,J,US,186,0.41695451361943336
2022-03-01 15:05:00,FP,550,DXB,77W,J,AE,428,0.47687978168234296
2022-03-01 15:25:00,DO,905,CKE,CR9,J,US,90,0.3083254588923727
2022-03-01 15:35:00,DO,668,YYZ,32N,J,CA,180,0.4213621115421562
2022-03-01 14:25:00,CL,2961,YQU,73H,J,CA,189,0.6287184907871411
2022-03-01 14:55:00,DO,974,YYJ,32N,J,CA,180,0.2728115425436245
2022-03-01 14:30:00,CL,3779,YWG,73H,J,CA,189,0.6049535034179143
2022-03-01 14:45:00,DO,986,YXC,319,J,CA,150,0.3422014216368868
2022-03-01 15:50:00,DO,814,ORD,333,J,US,262,0.15197180061369508
2022-03-01 16:25:00,CN,555,CKE,AT7,J,US,72,0.5128659336167094
